[u'X=(70.0-27.0)'] [43.0]
[u'X=(54.0-28.0)'] [26.0]
[u'X=(8.0-2.0)'] [6.0]
[u'X=(12.0-4.0)'] [8.0]
[u'X=(55.0-22.0)'] [33.0]
[u'X=(86.0-34.0)'] [52.0]
[u'X=(16.0-6.0)'] [10.0]
[u'X=(4.0+9.0)'] [13.0]
[u'X=(9.0+8.0)'] [17.0]
[u'X=(4.0+6.0)'] [10.0]
[u'X=(9.0+7.0)'] [16.0]
[u'X=(7.0+5.0)'] [12.0]
[u'X=(9.0+6.0)'] [15.0]
[u'X=(2.0+3.0)'] [5.0]
[u'X=(6.0+8.0)'] [14.0]
[u'X=(6.0+3.0)'] [9.0]
[u'X=(2.0+9.0)'] [11.0]
[u'X=((9.0+7.0)+5.0)'] [21.0]
[u'X=((3.0+6.0)+9.0)'] [18.0]
[u'X=((9.0+5.0)+2.0)'] [16.0]
[u'X=((7.0+8.0)+4.0)'] [19.0]
[u'X=((5.0+6.0)+3.0)'] [14.0]
[u'X=((4.0+9.0)+3.0)'] [16.0]
[u'X=((7.0+3.0)+2.0)'] [12.0]
[u'X=((4.0+5.0)+9.0)'] [18.0]
[u'X=(44.0+24.0)'] [68.0]
[u'X=(18.0+47.0)'] [65.0]
[u'X=(23.0+28.0)'] [51.0]
[u'X=(11.0+14.0)'] [25.0]
[u'X=(45.0+11.0)'] [56.0]
[u'X=(20.0+21.0)'] [41.0]
[u'X=(49.0+25.0)'] [74.0]
[u'X=(15.0+43.0)'] [58.0]
[u'X=(31.0+24.0)'] [55.0]
[u'X=(37.0+10.0)'] [47.0]
[u'X=(36.0+11.0)'] [47.0]
[u'X=(33.0+27.0)'] [60.0]
[u'X=(24.0+39.0)'] [63.0]
[u'X=(42.0+47.0)'] [89.0]
[u'X=(33.0+44.0)'] [77.0]
[u'X=(21.0+49.0)'] [70.0]
[u'X=(41.0+30.0)'] [71.0]
[u'X=(10.0+38.0)'] [48.0]
[u'X=(40.0+41.0)'] [81.0]
[u'X=(38.0+44.0)'] [82.0]
[u'X=(14.0+29.0)'] [43.0]
[u'X=(18.0+41.0)'] [59.0]
[u'X=((39.0+41.0)+20.0)'] [100.0]
[u'X=((10.0+24.0)+33.0)'] [67.0]
[u'X=((46.0+47.0)+12.0)'] [105.0]
[u'X=((29.0+16.0)+20.0)'] [65.0]
[u'X=((19.0+39.0)+25.0)'] [83.0]
[u'X=((37.0+28.0)+39.0)'] [104.0]
[u'X=((27.0+41.0)+20.0)'] [88.0]
[u'X=((11.0+17.0)+16.0)'] [44.0]
[u'X=((43.0+19.0)+16.0)'] [78.0]
[u'X=(56.0-35.0)'] [21.0]
[u'X=(64.0-53.0)'] [11.0]
[u'X=(56.0-22.0)'] [34.0]
[u'X=(55.0-13.0)'] [42.0]
[u'X=(67.0-33.0)'] [34.0]
[u'X=(14.0-3.0)'] [11.0]
[u'X=(86.0-74.0)'] [12.0]
[u'X=(96.0-73.0)'] [23.0]
[u'X=(6.0+7.0)'] [13.0]
[u'X=(9.0+3.0)'] [12.0]
[u'X=(5.0+4.0)'] [9.0]
[u'X=(7.0-4.0)'] [3.0]
[u'X=(7.0+9.0)'] [16.0]
[u'X=(6.0+9.0)'] [15.0]
[u'X=(8.0-2.0)'] [6.0]
[u'X=(7.0-3.0)'] [4.0]
[u'X=(8.0-2.0)'] [6.0]
[u'X=(34.0+49.0)'] [83.0]
[u'X=(27.0+45.0)'] [72.0]
[u'X=(35.0-18.0)'] [17.0]
[u'X=(22.0+20.0)'] [42.0]
[u'X=(87.0-13.0)'] [74.0]
[u'X=(51.0+23.0)'] [74.0]
[u'X=(44.0+52.0)'] [96.0]
[u'X=(64.0-14.0)'] [50.0]
[u'X=(25.0+73.0)'] [98.0]
[u'X=(54.0+22.0)'] [76.0]
[u'X=(42.0+17.0)'] [59.0]
[u'X=(98.0-93.0)'] [5.0]
[u'X=(79.0-63.0)'] [16.0]
[u'X=(110.0+102.0)'] [212.0]
[u'X=(122.0+105.0)'] [227.0]
[u'X=(760.0-418.0)'] [342.0]
[u'X=(139.0+113.0)'] [252.0]
[u'X=(676.0-224.0)'] [452.0]
[u'X=(107.0+104.0)'] [211.0]
[u'X=(709.0-221.0)'] [488.0]
[u'X=(115.0+100.0)'] [215.0]
[u'X=(3.0-2.0)'] [1.0]
[u'X=(8.0-4.0)'] [4.0]
[u'X=(5.0-2.0)'] [3.0]
[u'X=(2.0+4.0)'] [6.0]
[u'X=(6.0+5.0)'] [11.0]
[u'X=(4.0-3.0)'] [1.0]
